Argus v4 evolution (K-fold + slippage) — run v4, budget 10 min, seed 42

Data: 3951 bars, 71 curated events
Train: 2010-08-18 → 2022-12-31 (2602 bars, 7.1yr)
Test:  2023-01-01 → 2026-09-10 (1349 bars, 3.7yr)
Indicators + event-state precomputed

Buy-hold train: $1000 → $236320000
Buy-hold test:  $1000 → $4702

K-fold: 4 folds within train slice
  Fold 0: 2010-08-18 → 2017-08-27 (650 bars)
  Fold 1: 2017-08-28 → 2019-06-08 (650 bars)
  Fold 2: 2019-06-09 → 2021-03-19 (650 bars)
  Fold 3: 2021-03-20 → 2022-12-31 (652 bars)

Gen    1 | fit   4.200 | fold Calmar 10.84/ 0.66/ 5.40/-0.10 | fold DD 35/25/20/24%
Gen 4031 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4036 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4041 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4046 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4051 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4056 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4061 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4066 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4071 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4076 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4081 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4086 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4091 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4096 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4101 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4106 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4111 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4116 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4121 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4126 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4131 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4136 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4141 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4146 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4151 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4156 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4161 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4166 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4171 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4176 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4181 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4186 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4191 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4196 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4201 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4206 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4211 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4216 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4221 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4226 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4231 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4236 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4241 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4246 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4251 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4256 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4261 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4266 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4271 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4276 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4281 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4286 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4291 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4296 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4301 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4306 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4311 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4316 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4321 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4326 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4331 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4336 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4341 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4346 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4351 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4356 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4361 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4366 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4371 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4376 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4381 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4386 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4391 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4396 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4401 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4406 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4411 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4416 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4421 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4426 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4431 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4436 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4441 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4446 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4451 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4456 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4461 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4466 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4471 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4476 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4481 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4486 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4491 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4496 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4501 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4506 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4511 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4516 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4521 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4526 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4531 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4536 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4541 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4546 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4551 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4556 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4561 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4566 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4571 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4576 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4581 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4586 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4591 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4596 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4601 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4606 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4611 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4616 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4621 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4626 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4631 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4636 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4641 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4646 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4651 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4656 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4661 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4666 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4671 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4676 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4681 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4686 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4691 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4696 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4701 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4706 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4711 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4716 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4721 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4726 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4731 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4736 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4741 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4746 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4751 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4756 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4761 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4766 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4771 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4776 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4781 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4786 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4791 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4796 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4801 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4806 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4811 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4816 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4821 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4826 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4831 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4836 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4841 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4846 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4851 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4856 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4861 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4866 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4871 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4876 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4881 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4886 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4891 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4896 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4901 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4906 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4911 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4916 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4921 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4926 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4931 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4936 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4941 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4946 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4951 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4956 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4961 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4966 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4971 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4976 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4981 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4986 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4991 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 4996 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 5001 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 5006 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 5011 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 5016 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 5021 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 5026 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 5031 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 5036 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 5041 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 5046 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 5051 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 5056 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 5061 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 5066 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 5071 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 5076 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 5081 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 5086 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 5091 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 5096 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 5101 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 5106 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 5111 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 5116 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 5121 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 5126 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 5131 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 5136 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 5141 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 5146 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 5151 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 5156 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen 5161 | fit 149.853 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
