Argus v4 evolution (K-fold + slippage) — run v4, budget 10 min, seed 42

Data: 3951 bars, 71 curated events
Train: 2010-08-18 → 2022-12-31 (2602 bars, 7.1yr)
Test:  2023-01-01 → 2026-09-10 (1349 bars, 3.7yr)
Indicators + event-state precomputed

Buy-hold train: $1000 → $236320000
Buy-hold test:  $1000 → $4702

K-fold: 4 folds within train slice
  Fold 0: 2010-08-18 → 2017-08-27 (650 bars)
  Fold 1: 2017-08-28 → 2019-06-08 (650 bars)
  Fold 2: 2019-06-09 → 2021-03-19 (650 bars)
  Fold 3: 2021-03-20 → 2022-12-31 (652 bars)

Gen    1 | fit   4.200 | fold Calmar 10.84/ 0.66/ 5.40/-0.10 | fold DD 35/25/20/24%
Gen  316 | fit 149.852 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen  321 | fit 149.852 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen  326 | fit 149.852 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen  331 | fit 149.852 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen  336 | fit 149.852 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen  341 | fit 149.852 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen  346 | fit 149.852 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen  351 | fit 149.852 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen  356 | fit 149.852 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen  361 | fit 149.852 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen  366 | fit 149.852 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen  371 | fit 149.852 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen  376 | fit 149.852 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen  381 | fit 149.852 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen  386 | fit 149.852 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen  391 | fit 149.852 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen  396 | fit 149.852 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen  401 | fit 149.852 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen  406 | fit 149.852 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen  411 | fit 149.852 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen  416 | fit 149.852 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen  421 | fit 149.852 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen  426 | fit 149.852 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen  431 | fit 149.852 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen  436 | fit 149.852 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen  441 | fit 149.852 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen  446 | fit 149.852 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen  451 | fit 149.852 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen  456 | fit 149.852 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen  461 | fit 149.852 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen  466 | fit 149.852 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen  471 | fit 149.852 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen  476 | fit 149.852 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen  481 | fit 149.852 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen  486 | fit 149.852 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen  491 | fit 149.852 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen  496 | fit 149.852 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen  501 | fit 149.852 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen  506 | fit 149.852 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen  511 | fit 149.852 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen  516 | fit 149.852 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen  521 | fit 149.852 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen  526 | fit 149.852 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen  531 | fit 149.852 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen  536 | fit 149.852 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen  541 | fit 149.852 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen  546 | fit 149.852 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen  551 | fit 149.852 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen  556 | fit 149.852 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen  561 | fit 149.852 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen  566 | fit 149.852 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen  571 | fit 149.852 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen  576 | fit 149.852 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen  581 | fit 149.852 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen  586 | fit 149.852 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen  591 | fit 149.852 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen  596 | fit 149.852 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen  601 | fit 149.852 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen  606 | fit 149.852 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen  611 | fit 149.852 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen  616 | fit 149.852 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen  621 | fit 149.852 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen  626 | fit 149.852 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen  631 | fit 149.852 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen  636 | fit 149.852 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
Gen  641 | fit 149.852 | fold Calmar 597.22/ 0.35/ 1.20/ 0.64 | fold DD 21/30/34/22%
