Argus v5 (macro + geo-mean K-fold + event delay + slippage) — run v5, budget 10 min, seed 42

Data: 3951 bars, 71 curated events, 3951 macro rows
Train: 2010-08-18 → 2022-12-31 (2602 bars, 7.1yr)
Test:  2023-01-01 → 2026-09-10 (1349 bars, 3.7yr)
Precomputed: indicators + event-state (1d delay) + macro state

Buy-hold train: $1000 → $236320000
Buy-hold test:  $1000 → $4702

K-fold: 4 folds within train slice
  Fold 0: 2010-08-18 → 2017-08-27 (650 bars)
  Fold 1: 2017-08-28 → 2019-06-08 (650 bars)
  Fold 2: 2019-06-09 → 2021-03-19 (650 bars)
  Fold 3: 2021-03-20 → 2022-12-31 (652 bars)

Gen    1 | fit   1.116 | fold Calmar  3.67/ 5.25/ 1.70/ 0.05 | fold DD  4/ 0/ 3/ 1%
Gen  221 | fit   8.218 | fold Calmar 26.92/ 4.61/12.90/ 2.85 | fold DD 22/ 7/ 8/ 5%
Gen  226 | fit   8.218 | fold Calmar 26.92/ 4.61/12.90/ 2.85 | fold DD 22/ 7/ 8/ 5%
Gen  231 | fit   8.218 | fold Calmar 26.92/ 4.61/12.90/ 2.85 | fold DD 22/ 7/ 8/ 5%
Gen  236 | fit   8.222 | fold Calmar 26.95/ 4.61/12.90/ 2.85 | fold DD 22/ 7/ 8/ 5%
Gen  241 | fit   8.222 | fold Calmar 26.95/ 4.61/12.91/ 2.85 | fold DD 22/ 7/ 8/ 5%
Gen  246 | fit   8.222 | fold Calmar 26.95/ 4.61/12.91/ 2.85 | fold DD 22/ 7/ 8/ 5%
Gen  251 | fit   8.222 | fold Calmar 26.95/ 4.61/12.91/ 2.85 | fold DD 22/ 7/ 8/ 5%
Gen  256 | fit   8.222 | fold Calmar 26.95/ 4.61/12.91/ 2.85 | fold DD 22/ 7/ 8/ 5%
Gen  261 | fit   8.222 | fold Calmar 26.94/ 4.61/12.91/ 2.85 | fold DD 22/ 7/ 8/ 5%
Gen  266 | fit   8.222 | fold Calmar 26.94/ 4.61/12.91/ 2.85 | fold DD 22/ 7/ 8/ 5%
Gen  271 | fit   8.222 | fold Calmar 26.94/ 4.61/12.91/ 2.85 | fold DD 22/ 7/ 8/ 5%
Gen  276 | fit   8.222 | fold Calmar 26.94/ 4.61/12.91/ 2.85 | fold DD 22/ 7/ 8/ 5%
Gen  281 | fit   8.222 | fold Calmar 26.94/ 4.61/12.91/ 2.85 | fold DD 22/ 7/ 8/ 5%
Gen  286 | fit   8.222 | fold Calmar 26.94/ 4.61/12.91/ 2.85 | fold DD 22/ 7/ 8/ 5%
Gen  291 | fit   8.222 | fold Calmar 26.94/ 4.61/12.91/ 2.85 | fold DD 22/ 7/ 8/ 5%
Gen  296 | fit   8.222 | fold Calmar 26.94/ 4.61/12.91/ 2.85 | fold DD 22/ 7/ 8/ 5%
Gen  301 | fit   8.222 | fold Calmar 26.94/ 4.61/12.91/ 2.85 | fold DD 22/ 7/ 8/ 5%
Gen  306 | fit   8.229 | fold Calmar 27.90/ 4.63/12.40/ 2.86 | fold DD 22/ 7/ 8/ 5%
Gen  311 | fit   8.230 | fold Calmar 27.79/ 4.64/12.44/ 2.86 | fold DD 22/ 7/ 8/ 5%
Gen  316 | fit   8.230 | fold Calmar 27.79/ 4.64/12.44/ 2.86 | fold DD 22/ 7/ 8/ 5%
