Argus v3 evolution (17-gene reduced) — run v3, budget 5 min, seed 42

Data: 3951 bars, 71 curated events
Train: 2010-08-18 → 2022-12-31 (2602 bars, 7.1yr)
Test:  2023-01-01 → 2026-09-10 (1349 bars, 3.7yr)
Indicators + event-state precomputed

Buy-hold train: $1000 → $236320000
Buy-hold test:  $1000 → $4702

Gen    1 | fit   2.083 | CAGR   72.3% | DD  34.7% | Calmar   2.08 | trades   84 | ✓
Gen  281 | fit  13.755 | CAGR  222.4% | DD  16.2% | Calmar  13.75 | trades   82 | ✓
Gen  286 | fit  13.755 | CAGR  222.4% | DD  16.2% | Calmar  13.75 | trades   82 | ✓
Gen  291 | fit  13.755 | CAGR  222.4% | DD  16.2% | Calmar  13.75 | trades   82 | ✓
Gen  296 | fit  13.755 | CAGR  222.4% | DD  16.2% | Calmar  13.75 | trades   82 | ✓
Gen  301 | fit  13.755 | CAGR  222.4% | DD  16.2% | Calmar  13.75 | trades   82 | ✓
Gen  306 | fit  13.755 | CAGR  222.4% | DD  16.2% | Calmar  13.75 | trades   82 | ✓
Gen  311 | fit  13.755 | CAGR  222.4% | DD  16.2% | Calmar  13.75 | trades   82 | ✓
Gen  316 | fit  13.770 | CAGR  222.7% | DD  16.2% | Calmar  13.77 | trades   82 | ✓
Gen  321 | fit  13.770 | CAGR  222.7% | DD  16.2% | Calmar  13.77 | trades   82 | ✓
Gen  326 | fit  13.770 | CAGR  222.7% | DD  16.2% | Calmar  13.77 | trades   82 | ✓
Gen  331 | fit  13.770 | CAGR  222.7% | DD  16.2% | Calmar  13.77 | trades   82 | ✓
Gen  336 | fit  13.770 | CAGR  222.7% | DD  16.2% | Calmar  13.77 | trades   82 | ✓
Gen  341 | fit  13.770 | CAGR  222.7% | DD  16.2% | Calmar  13.77 | trades   82 | ✓
Gen  346 | fit  13.770 | CAGR  222.7% | DD  16.2% | Calmar  13.77 | trades   82 | ✓
Gen  351 | fit  13.770 | CAGR  222.7% | DD  16.2% | Calmar  13.77 | trades   82 | ✓
Gen  356 | fit  13.770 | CAGR  222.7% | DD  16.2% | Calmar  13.77 | trades   82 | ✓
Gen  361 | fit  13.770 | CAGR  222.7% | DD  16.2% | Calmar  13.77 | trades   82 | ✓
Gen  366 | fit  13.770 | CAGR  222.7% | DD  16.2% | Calmar  13.77 | trades   82 | ✓
Gen  371 | fit  13.770 | CAGR  222.7% | DD  16.2% | Calmar  13.77 | trades   82 | ✓
Gen  376 | fit  13.770 | CAGR  222.7% | DD  16.2% | Calmar  13.77 | trades   82 | ✓
Gen  381 | fit  13.770 | CAGR  222.7% | DD  16.2% | Calmar  13.77 | trades   82 | ✓
Gen  386 | fit  13.770 | CAGR  222.7% | DD  16.2% | Calmar  13.77 | trades   82 | ✓
Gen  391 | fit  13.770 | CAGR  222.7% | DD  16.2% | Calmar  13.77 | trades   82 | ✓
Gen  396 | fit  13.770 | CAGR  222.7% | DD  16.2% | Calmar  13.77 | trades   82 | ✓
Gen  401 | fit  13.770 | CAGR  222.7% | DD  16.2% | Calmar  13.77 | trades   82 | ✓
Gen  406 | fit  13.770 | CAGR  222.7% | DD  16.2% | Calmar  13.77 | trades   82 | ✓
Gen  411 | fit  13.770 | CAGR  222.7% | DD  16.2% | Calmar  13.77 | trades   82 | ✓
Gen  416 | fit  13.770 | CAGR  222.7% | DD  16.2% | Calmar  13.77 | trades   82 | ✓
Gen  421 | fit  13.770 | CAGR  222.7% | DD  16.2% | Calmar  13.77 | trades   82 | ✓
Gen  426 | fit  13.770 | CAGR  222.7% | DD  16.2% | Calmar  13.77 | trades   82 | ✓
Gen  431 | fit  13.770 | CAGR  222.7% | DD  16.2% | Calmar  13.77 | trades   82 | ✓
Gen  436 | fit  13.770 | CAGR  222.7% | DD  16.2% | Calmar  13.77 | trades   82 | ✓
Gen  441 | fit  13.770 | CAGR  222.7% | DD  16.2% | Calmar  13.77 | trades   82 | ✓
